"Chapter","Setting","Compliance"
,"This script is unable to check Number of Previous Logons to cache, this is because the setting is in the security registry hive, please check the GPO located at Computer Configuration\Policies\Windows Settings\Security Settings\Local Policies\Security Options\Interactive Logon","Unknown"
,"Do not allow storage of passwords and credentials for network authentication is disabled","Non-Compliant"
,"WDigest is not configured","Non-Compliant (Due to Non-Configuration)"
,"Virtualisation Based Security is not configured","Non-Compliant (Due to Non-Configuration)"
,"Secure Boot and DMA Protection is not configured","Non-Compliant (Due to Non-Configuration)"
,"Virtualisation Based Protection of Code Integrity with UEFI lock is not configured","Non-Compliant (Due to Non-Configuration)"
"CONTROLLED FOLDER ACCESS",,
"CONTROLLED FOLDER ACCESS","Controlled Folder Access for Exploit Guard is not configured","Non-Compliant (Due to Non-Configuration)"
"CREDENTIAL ENTRY",,
"CREDENTIAL ENTRY","Do not display network selection UI is not configured","Non-Compliant (Due to Non-Configuration)"
"CREDENTIAL ENTRY","Enumerate local users on domain joined computers is not configured","Non-Compliant (Due to Non-Configuration)"
"CREDENTIAL ENTRY","Do not display the password reveal button is not configured","Non-Compliant (Due to Non-Configuration)"
"CREDENTIAL ENTRY","Enumerate administrator accounts on elevation is not configured","Non-Compliant (Due to Non-Configuration)"
"CREDENTIAL ENTRY","Require trusted path for credential entry is not configured","Non-Compliant (Due to Non-Configuration)"
"CREDENTIAL ENTRY","Disable or enable software Secure Attention Sequence is not configured or disabled","Compliant"
"CREDENTIAL ENTRY","Sign-in last interactive user automatically after a system-initiated restart is disabled","Compliant"
"CREDENTIAL ENTRY","Interactive logon: Do not require CTRL+ALT+DEL is disabled","Compliant"
"CREDENTIAL ENTRY","Interactive logon: Don't display username at sign-in is disabled","Non-Compliant"
"EARLY LAUNCH ANTI MALWARE",,
"EARLY LAUNCH ANTI MALWARE","ELAM Boot-Start Driver Initialization Policy is not configured","Non-Compliant (Due to Non-Configuration)"
"ELEVATING PRIVILEGES",,
"ELEVATING PRIVILEGES","Admin Approval Mode for the Built-in Administrator account is not configured","Non-Compliant (Due to Non-Configuration)"
"ELEVATING PRIVILEGES","Allow UIAccess applications to prompt for elevation without using the secure desktop is disabled","Compliant"
"ELEVATING PRIVILEGES","Behavior of the elevation prompt for administrators in Admin Approval Mode is configured, but set to Prompt for consent for non-Windows binaries","Non-Compliant"
"ELEVATING PRIVILEGES","Behavior of the elevation prompt for standard users is configured, but set to Prompt for credentials","Non-Compliant"
"ELEVATING PRIVILEGES","Detect application installations and prompt for elevation is enabled","Compliant"
"ELEVATING PRIVILEGES","Only elevate UIAccess applications that are installed in secure locations is enabled","Compliant"
"ELEVATING PRIVILEGES","Run all administrators in Admin Approval Mode is enabled","Compliant"
"ELEVATING PRIVILEGES","Switch to the secure desktop when prompting for elevation is enabled","Compliant"
"ELEVATING PRIVILEGES","Virtualize file and registry write failures to per-user locations is enabled","Compliant"
"EXPLOIT PROTECTION",,
"EXPLOIT PROTECTION","Prevent users from modifying settings is not configured","Non-Compliant (Due to Non-Configuration)"
"EXPLOIT PROTECTION","Turn off Data Execution Prevention for Explorer is not configured","Non-Compliant (Due to Non-Configuration)"
"EXPLOIT PROTECTION","Enabled Structured Exception Handling Overwrite Protection (SEHOP) is enabled","Compliant"
"LOCAL ADMINISTRATOR ACCOUNTS",,
"LOCAL ADMINISTRATOR ACCOUNTS","Apply UAC restrictions to local accounts on network logons is disabled","Non-Compliant"
"MICROSOFT EDGE",,
"MICROSOFT EDGE","Flash Player is Not Configured","Non-Compliant (Due to Non-Configuration)"
"MICROSOFT EDGE","Edge Developer Tools are Not Configured","Non-Compliant (Due to Non-Configuration)"
"MICROSOFT EDGE","Edge Do Not Track is Not Configured","Non-Compliant (Due to Non-Configuration)"
"MICROSOFT EDGE","Edge Password Manager is Not Configured","Non-Compliant (Due to Non-Configuration)"
"MICROSOFT EDGE","Edge Pop-up Blocker is Not Configured","Non-Compliant (Due to Non-Configuration)"
"MICROSOFT EDGE","Configure Windows Defender SmartScreen is not configured","Non-Compliant (Due to Non-Configuration)"
"MICROSOFT EDGE","Prevent access to the about:flags page in Microsoft Edge is not configured","Non-Compliant (Due to Non-Configuration)"
"MICROSOFT EDGE","Prevent bypassing Windows Defender SmartScreen prompts for sites is not configured","Non-Compliant (Due to Non-Configuration)"
"MICROSOFT EDGE","Prevent users and apps from accessing dangerous websites is not configured","Non-Compliant (Due to Non-Configuration)"
"MICROSOFT EDGE","Turn on Windows Defender Application Guard in Enterprise Mode is not configured","Non-Compliant (Due to Non-Configuration)"
"MICROSOFT EDGE","Configure Windows Defender SmartScreen is not configured","Non-Compliant (Due to Non-Configuration)"
"MICROSOFT EDGE","Prevent bypassing Windows Defender SmartScreen prompts for sites is not configured","Non-Compliant (Due to Non-Configuration)"
"MULTI-FACTOR AUTHENTICATION",,
"MULTI-FACTOR AUTHENTICATION","There are no controls in this section that can be checked by a PowerShell script, this control requires manual auditing","Unknown"
"OPERATING SYSTEM ARCHITECTURE",,
"OPERATING SYSTEM ARCHITECTURE","Operating System Architecture is 64-Bit","Compliant"
"OPERATING SYSTEM PATCHING",,
"OPERATING SYSTEM PATCHING","Allow Automatic Updates immediate installation is not configured","Non-Compliant (Due to Non-Configuration)"
"OPERATING SYSTEM PATCHING","Configure Automatic Updates is disabled","Non-Compliant"
"OPERATING SYSTEM PATCHING","Do not include drivers with Windows Updates is not configured","Non-Compliant (Due to Non-Configuration)"
"OPERATING SYSTEM PATCHING","No auto-restart with logged on users for scheduled automatic updates installations is not configured","Non-Compliant (Due to Non-Configuration)"
"OPERATING SYSTEM PATCHING","Remove access to use all Windows Update features is not configured","Non-Compliant (Due to Non-Configuration)"
"OPERATING SYSTEM PATCHING","Turn on recommended updates via Automatic Updates is not configured","Non-Compliant (Due to Non-Configuration)"
"OPERATING SYSTEM PATCHING","Specify intranet Microsoft update service location is not configured","Non-Compliant (Due to Non-Configuration)"
"PASSWORD POLICY",,
"PASSWORD POLICY","Turn off picture password sign-in is not configured","Non-Compliant (Due to Non-Configuration)"
"PASSWORD POLICY","Turn on convenience PIN sign-in is not configured","Non-Compliant (Due to Non-Configuration)"
"PASSWORD POLICY","Enforce Password History is set to None which is a compliant setting","Compliant"
"PASSWORD POLICY","Maximum password age is set to 42 which is a compliant setting","Compliant"
"PASSWORD POLICY","Minimum password age is set to 0 which is a compliant setting","Compliant"
"PASSWORD POLICY","Minimum password length is set to 0 which is a non-compliant setting","Non-Compliant"
"PASSWORD POLICY","Store passwords using reversible encryption is unable to be checked using PowerShell, as the setting is not a registry key. Please check Computer Configuration\Windows Settings\Security Settings\Account Policies\Password Policy\Store passwords using reversible encryption","Unknown"
"PASSWORD POLICY","Limit local account use of blank passwords to console logon only is enabled","Compliant"
"RESTRICTING PRIVILEGED ACCOUNTS",,
"RESTRICTING PRIVILEGED ACCOUNTS","There are no controls in this section that can be checked by a PowerShell script, this control requires manual auditing","Unknown"
"SECURE BOOT",,
"ACCOUNT LOCKOUT POLICIES",,
"ACCOUNT LOCKOUT POLICIES","Account Lockout Duration is set to 30 which is a non-compliant setting","Non-Compliant"
"ACCOUNT LOCKOUT POLICIES","Account Lockout Threshold is set to Never which is a non-compliant setting","Non-Compliant"
"ACCOUNT LOCKOUT POLICIES","Account Lockout Threshold is set to 30 minutes which is a compliant setting","Compliant"
"ANONYMOUS CONNECTIONS",,
"ANONYMOUS CONNECTIONS","Enable insecure guest logons is not configured","Non-Compliant (Due to Non-Configuration)"
"ANONYMOUS CONNECTIONS","Allow anonymous SID/Name translation is disabled","Compliant"
"ANONYMOUS CONNECTIONS","Network access: Do not allow anonymous enumeration of SAM accounts is enabled","Compliant"
"ANONYMOUS CONNECTIONS","Network access: Do not allow anonymous enumeration of SAM accounts and shares is disabled","Non-Compliant"
"ANONYMOUS CONNECTIONS","Network access: Let Everyone permissions apply to anonymous users is disabled","Compliant"
"ANONYMOUS CONNECTIONS","Network access: Restrict anonymous access to Named Pipes and Shares is enabled","Compliant"
"ANONYMOUS CONNECTIONS","Network access: Do not allow anonymous enumeration of SAM accounts and shares is not configured","Non-Compliant (Due to Non-Configuration)"
"ANONYMOUS CONNECTIONS","Network security: Allow Local System to use computer identity for NTLM is not configured","Non-Compliant (Due to Non-Configuration)"
"ANONYMOUS CONNECTIONS","Network security: Allow LocalSystem NULL session fallback is not configured","Non-Compliant (Due to Non-Configuration)"
"ANONYMOUS CONNECTIONS","Access this computer from the network is unable to be checked using PowerShell, as the setting is not a registry key. Please check Computer Configuration\Policies\Windows Settings\Security Settings\Local Policies\User Rights Assignment\. ASD Recommendation is to only have 'Administrators & Remote Desktop Users' present","Unknown"
"ANONYMOUS CONNECTIONS","Deny Access to this computer from the network is unable to be checked using PowerShell, as the setting is not a registry key. Please check Computer Configuration\Policies\Windows Settings\Security Settings\Local Policies\User Rights Assignment\. ASD Recommendation is to only have 'Guests & NT AUTHORITY\Local Account' present","Unknown"
"ANTI-VIRUS SOFTWARE",,
